comment,sentiment,dominant_construct
ibadah,neutral,Performance Expectancy
umdatu as-salik wa 'uddatu an-nasik dikarang oleh syaikh ibnu an-naqib. nama lengkapnya syihabuddin abu al-'abbas ahmad bin an-naqib al-mishri as-syafi'i,negative,Performance Expectancy
"kitab ini cukup populer di sejumlah lembaga pendidikan islam,bahkan dijadikan sebagai buku pegangan untuk belajar fiqih mazhab syafi'i. kitab ini termasuk mustaqill atau independen,artinya bukan sebagai syarah dari kitab lain,bukan manzhumah kitab lain,bukan mukhtashor kitab lain,bukan taqrirot kitab lain,dan bukan ta'liqah kitab lain. kitab ini ditulis secara independen untuk meringkas mazhab syafi'i sesuai dengan perkembangan fiqih yang terjadi di masa itu.",positive,Performance Expectancy
"umdatu as-salik adalah ringkasan fiqih madzhab imam as-syafi'i yang diringkas berdasarkan pendapat yang sahih dalam madzhab menurut ar rafi'i dan an-nawawi atau salah satunya. intinya,jika kita ingin mengetahui pedapat mu'tamad madzhab asy-syafi'i secara kilat dan cepat,maka kitab umdatu as-",neutral,Performance Expectancy
salik inilah di antara pilihan referensi yang tepat.,positive,Performance Expectancy
wallahu a'lam.,neutral,Effort Expectancy
dks,neutral,Effort Expectancy
duta karya santri,neutral,Performance Expectancy
kediri indonesia,neutral,Performance Expectancy
inbox wa 081243902179,neutral,Effort Expectancy
atau telpon biasa saja soalnya wa ku ada yang sadap sering error .,neutral,Social Influence
bg video gw tidak ada suara nya,negative,Effort Expectancy
katanya cara gratis ko tutorial berbayar ini,neutral,Effort Expectancy
bang ini bisa pake wajah sendiri?,neutral,Effort Expectancy
kok bahasa inggris punya ku,negative,Effort Expectancy
cara bikin video pegang produk kita sendiri gimna ya..?,neutral,Effort Expectancy
bang maaf boleh tanya aku ikuti tutorial abg aku kok bahsa videonya bahasa ingris ya mesti mengunkan promt ingris atau indonesia mohon pencerahannya,negative,Performance Expectancy
kok saya tidak muncul vo3 yang muncul vo2 ?,negative,Social Influence
gilaa ngeri banget jaman makin canggih,negative,Social Influence
"tetap ae bang upgradenya bayar 300 rebuan,dimana gratisnya",neutral,Performance Expectancy
"bang ini jelasin,jangan jangan ai juga ?",neutral,Effort Expectancy
"saya coba generate via laptop bang. tapi gagal tidak ada suara nya bang,ada setting yang saya perlu otak atik lagi?",negative,Effort Expectancy
tidak bisa lebih dari 8 detik y ?,neutral,Performance Expectancy
kenapaa gemini gue gaak aada viddeonya ya,neutral,Effort Expectancy
kok menu video nya disaya tidak muncul ya?,negative,Effort Expectancy
buat mahasiswa bisa sampai 15 bulan,neutral,Performance Expectancy
ini indonesia bukan timur tengah,neutral,Performance Expectancy
coba cermati lagi videonya,neutral,Performance Expectancy
tambahkan prompt berkata dalam bahasa indonesia,neutral,Performance Expectancy
oke bang mkasih ya sudah bisa bang,neutral,Performance Expectancy
pastikan langkah nya sesuai tutorial,neutral,Effort Expectancy
betul,positive,Effort Expectancy
gratis sebulan itu hehe,neutral,Effort Expectancy
punya saya keluarnya kode referal dan paypal om tidak ada yang untuk dana dan sejenisnya ini saya buka lewat pc,neutral,Performance Expectancy
hayo tebak,neutral,Effort Expectancy
masih veo 2 itu,neutral,Effort Expectancy
belum,neutral,Effort Expectancy
ikuti tutorialnya jangan kelewat,neutral,Performance Expectancy
pastikan ikuti semua langkahnya dengan benar,neutral,Performance Expectancy
harus di acc akun email kampus,neutral,Facilitating Conditions
ko tidak ada bacaan video nya bang,negative,Effort Expectancy
wih langsung praktek ah nanti,neutral,Effort Expectancy
ake hp bisa tidak si?,neutral,Effort Expectancy
"belajarlah pake ai,minimal belajar bikin promt pake gemini,copilot,atau lainnya.",neutral,Performance Expectancy
realistis banget,positive,Social Influence
ok makasih bang,neutral,Performance Expectancy
klo pake hape kok tetap veo 2 yang keluar ya?,neutral,Facilitating Conditions
"bang veo 3 udah tapi tutor pake flow,tutorial cara pake flow ai nya bang udah langganan goggle one tapi flow ai tidak bs kepake.",negative,Performance Expectancy
kalau buat wajah sendiri gimana bang,neutral,Effort Expectancy
"promt sudah sperti abang,tapi kenapa ai berbicara menggunakan bahasa inggris ya ?",negative,Social Influence
bro udah coba yang premium belom ? klo yang pro batasan generatenya terlalu rendah nih,neutral,Social Influence
lewat hp tidak bisa bang?,neutral,Social Influence
itu biar ngomong bahasa indo gimana ya? saya coba udah tulis dialog bahasa indo tapi jadinya diterjemahkan ke inggris.,negative,Effort Expectancy
orang nya random ya kak,neutral,Effort Expectancy
tapi elu asli kan bang?,neutral,Effort Expectancy
"keren bro,btw tugu monas puncak atas monas nya,masih belum sempurna,lebih mirip tugu pahlawan surabaya",positive,Social Influence
angkat aku jadi muridmu bang,neutral,Performance Expectancy
cara ubah suara ke indonesia gimna,neutral,Effort Expectancy
bg di gw kok tidak ada suaranya ya,negative,Social Influence
kenapa ikon video tiada di paparan ku?,neutral,Social Influence
pastikan ikuti semua langkahnya dengan benar,neutral,Performance Expectancy
semoga tutorialnya bermanfaat ya!,positive,Performance Expectancy
bisa,neutral,Effort Expectancy
"oh ya bang,kalau untuk durasi nya bisa lebih panjang gak?",neutral,Performance Expectancy
"pastikan ikuti semua langkahnya dengan benar,aku coba di hp bisa",neutral,Effort Expectancy
masih belum terpecahkan hehe,negative,Effort Expectancy
"versi gemini belum bisa,versi yang flow bisa",neutral,Effort Expectancy
​ udh ada tidak versi itu?,neutral,Effort Expectancy
tambahkan prompt berkata dalam bahasa indonesia,neutral,Performance Expectancy
"tetap nih bang aku jga sdah buat,adakah solusi lain?​",neutral,Performance Expectancy
pakai email lain,neutral,Facilitating Conditions
"bisa,udah kucoba",neutral,Facilitating Conditions
tambahkan prompt berkata dalam bahasa indonesia,neutral,Performance Expectancy
betul,positive,Effort Expectancy
coba tebak?,neutral,Effort Expectancy
"iya,memang masih ada beberapa yang kurang sempurna",negative,Social Influence
bukan guru,neutral,Facilitating Conditions
"pastikan ikuti semua langkahnya dengan benar,mungkin masih veo 2",neutral,Performance Expectancy
upgrade dulu google gemininya ke pro. kemudian instal dan aktifin vpn nya.,neutral,Effort Expectancy
tutor buat apgrade yang 15 bulan bang pake alamat mahasiswa,neutral,Effort Expectancy
"cobain veo 3,generatingnya lama banget,ada solusi kah bang?",neutral,Effort Expectancy
tetap aja di limit 2 sampai 3 generate walaupun udh trial pro,neutral,Effort Expectancy
saya buat kok enggak ada suaranya ya kak,negative,Effort Expectancy
ai semakin menggila,positive,Effort Expectancy
monasnya tidak ada cuman om.wkwk,negative,Effort Expectancy
"izin tanya bang,kenapa saya bikin selalu bahasanya inggris ya pas bagian ngomongnya.. padahal saya udh buat pake b indo",negative,Effort Expectancy
"gua malah jadi bhasa inggris bng,gmana biar indo",negative,Social Influence
bang saya udh pake vpn trus ke gemini tapi tombol videonya ko gaada ya,neutral,Social Influence
"mas kl belum text pro (berbayar) dikanan atas,videonya memang tidak ada ya? soalnya saya buka gemini fitur videonya tidak ada..hehehe",neutral,Effort Expectancy
mas aku dah buat videonya tapi kok tidak ada audio nya ya mas mhon arahan nya mas pemula,negative,Effort Expectancy
terimakasih banyak bang,neutral,Performance Expectancy
saya kena limit baru bikin 7 video,neutral,Effort Expectancy
"bang kenapa ngomongnya engga bahas indonesia bang,malah bahas inggris",negative,Social Influence
cuma bisa 5 video,neutral,Facilitating Conditions
durasi 8 detik perhari (mode pro) sayang sekali padahal sudah berlangganan tapi hanya dapat sedikit kuota pembuatan.,neutral,Performance Expectancy
api monas nya menyala mas,negative,Performance Expectancy
bang klo kita lupa batalkan di gopay nya gmn?. apa bakal di datengin debt collector?,neutral,Performance Expectancy
"udhs berhasil,tapi kenapa tidak ada suaranya ya kak?",negative,Social Influence
durasinya cuman dibatas 8 detik ya mas?,neutral,Performance Expectancy
kenapa hasil punya saya pakai bahasa inggris ya bang,negative,Performance Expectancy
butuh email kampus,neutral,Facilitating Conditions
pakai banyak email,neutral,Facilitating Conditions
"pastikan ikuti semua langkahnya dengan benar,mungkin masih veo 2",neutral,Performance Expectancy
ya belum sempurna,negative,Effort Expectancy
tambahkan prompt berkata dalam bahasa indonesia,neutral,Performance Expectancy
tambahkan prompt berkata dalam bahasa indonesia,neutral,Performance Expectancy
buat ke premium dlu bang gemini nya,neutral,Social Influence
upgrade dulu google gemininya ke pro bang.,neutral,Effort Expectancy
sudah ikuti caranya dan memang harus bayar ternyata untuk awal pemakaian pro 171ribu sekian..kl tidak bayar selalu error kalau mengklik lanjutkan,neutral,Effort Expectancy
"pastikan ikuti semua langkahnya dengan benar,mungkin masih veo 2",neutral,Performance Expectancy
kalo tidak punya saldo bakal tidak ditagih wkwk,neutral,Effort Expectancy
sama,neutral,Effort Expectancy
sama kak,neutral,Effort Expectancy
"bang di metode pembayaran di chrome saya ngga ada menu pembayaran lewat hp,adanya kartu debet/kredit dan nomor rekening bank,tapi coba saya masukkan satu2 gagal semua,solusinya gimana ya?",neutral,Effort Expectancy
buatkan watermark menjadi animasi bang,neutral,Performance Expectancy
mas mau tanya kenapa setelah jadi vidio selalu berbahasa inggris caranya gimana yah biar berbahasa indonesia?,neutral,Performance Expectancy
mas kenapa durasinya pendek banget,negative,Effort Expectancy
kalau mau bikin durasi 1 menit atau lebih bisa tidak ya ?,neutral,Effort Expectancy
"keren lu bang,thanks udah bagi info nya",positive,Social Influence
ai benar2 menakutkan,negative,Effort Expectancy
kok saya tidak ada vidionya kak di gemininya,negative,Effort Expectancy
cara nambah durasi lebih dr 8 detik gimana?,neutral,Effort Expectancy
knapa suaranya tidak keluar ya,negative,Social Influence
4:51 itu bukannya ada tulisan veo 2 ya?,neutral,Social Influence
punya saya gaada suaranya mas,negative,Performance Expectancy
bang videonya tidak bisa mengeluarkan suara,negative,Facilitating Conditions
pakai hp bisa gak??,neutral,Effort Expectancy
klau whisk beda lagi ya?,neutral,Effort Expectancy
udah subscribe tapi kenapa cuma sampe veo 2 ya saya?,neutral,Effort Expectancy
bang kok gua buat ngga ada audionya ya?,negative,Performance Expectancy
"punyaku nggk ada suara bng,kenapa ya?",negative,Social Influence
jangan sampai disalah gunakan ya bang,neutral,Performance Expectancy
"kak kok punyaku ceweknya orang luar dan tidak keluar suaranya ya,",negative,Performance Expectancy
bang kok gw kata2nya berubah jadi bahasa inggris ya bang tidak bahasa indo,negative,Social Influence
masalah sy juga sama. udah ketemu solusinya bang?,neutral,Effort Expectancy
bisa mau velom​,neutral,Effort Expectancy
belum bang,neutral,Effort Expectancy
"sama-sama,semoga bermanfaat!",positive,Performance Expectancy
"ai itu menakutkan jika disalahgunakan,di masa sekarang ini walau banyak yang tidak suka ai,kita tetap harus mengikuti perkembangan zaman,yaitu ai yang semakin canggih",negative,Performance Expectancy
"​ mengikuti gimana,? banyak pekerjaan yang hilang gara² ai",negative,Performance Expectancy
lebih tepatnya: user ai bisa benar2 menakutkan,negative,Performance Expectancy
ai dajjal ! wkwk,negative,Effort Expectancy
ai membuatku jadi manusia super...,positive,Performance Expectancy
sudah di kasi ilmu garatis pake di skip lagi kalau nonton.,neutral,Performance Expectancy
tonton yang full biar tidak gagal paham.,neutral,Performance Expectancy
kuota di gemini itu brp vidio per hari/minggu sih bang?,neutral,Social Influence
siapa yang masih berfikir ai itu bukan ancaman.?,negative,Effort Expectancy
kok tidak ada suaranya bang?,negative,Social Influence
udah langganan tapi bikin video terbatas langganan nya tanggal 26 kemaren baru bisa bikin lagi di tanggal 31,neutral,Facilitating Conditions
itu bisa dicostum pake muka sendiri tidak bang,neutral,Performance Expectancy
kak cara aktivasi vpn lewat android bisa gak?,neutral,Effort Expectancy
bang untuk generate dalam sehari maximal berapa kali?,neutral,Effort Expectancy
ko aku hasil video nya selalu berbahasa inggris,negative,Effort Expectancy
tekhnologi inikah yang akan digunakan dadjal memfitnah manusia,negative,Performance Expectancy
hasil download ya berapa 720p/ 1080 bang ?,neutral,Performance Expectancy
"ngeri ya ai sekarang. kalau hasilnya seperti ini bisa2 untuk membuat sebuah film tidak perlu butuh uang yang banyak lagi. misal membuat suasana perang dunia 2,dll",negative,Performance Expectancy
"tidak bisa lagi bro ud stuck di pembayaran goggle. tidak ada pilihan pake shoppe pay,dll yang ada pake krtu kredit",negative,Performance Expectancy
recomend ai tolls yang bisa buat konten video lipsync selain dramina dan hedra bang,positive,Performance Expectancy
tidak bisa durasi 1 jam gitu kak ya,neutral,Effort Expectancy
apakah penggunaan vpn itu aman bang,neutral,Performance Expectancy
tidak bsa free bg harus upgrade pro,neutral,Effort Expectancy
trs cara pakek foto muka kita gimana bang,neutral,Effort Expectancy
video punya ku kok g ada suara nya bang,negative,Effort Expectancy
vpn tidak bisa bang,negative,Social Influence
terima kasih mas tutornya gas langsung cobaa,positive,Performance Expectancy
tergantung manusianya mau digunakan seperti apa dan buat apa??,neutral,Effort Expectancy
kak mau nanya kenapa ya di aku gabisa download vpn nya?,neutral,Effort Expectancy
di.web browser kak apanya yang mau di download​,neutral,Effort Expectancy
sangat aman,positive,Performance Expectancy
"oiya bang,apakah bisa kita upload foto atau video untuk dijadikan background,agar bacgroundnya sesuai sama yang kita mau",neutral,Performance Expectancy
"buatkan promt untuk google veo 3 seorang pria ganteng pakai kacamata hitam dengan background sedang main jetski di danau seolah sedang ngevlog selfie sambil berbicara pasti alun pernah sanak naiak jetski lai kan ? hahaha jan lai maha,dasar sanak miskin,kalera maha bana naiak jetski ko habi piti den dek nyo dengan ceria",neutral,Performance Expectancy
kok gw tidak ad suaranya ya bang?,negative,Social Influence
"mas,durasi maksimal emang cuma 8 detik ya?",neutral,Effort Expectancy
"mas,saya sudah coba,tapi hasil videonya kenapa bahasa inggris terus ya,padahal prompt sama perintahnya udah pake bahasa indonesia",negative,Effort Expectancy
bisa dicustom tidak orng nya?,neutral,Effort Expectancy
"kereeeen bro tutor mu,step by setpnya lengkap banget dan mudah dimengerti",positive,Social Influence
kayanya di hp belum bisa deh,neutral,Effort Expectancy
tidak keluar yang vidio nya cm ada deep researc dan canvas,neutral,Effort Expectancy
"walaupun udh versi pro,akaes ke veo 3 punya ku dibatasi 3 generate per hari",neutral,Performance Expectancy
"udah nyoba tapi tidak ada suaranya,gimana ni bang?",negative,Effort Expectancy
"gue kok tidak bisa pake vitur veo 3 ya padahal gue udah pasang extentention vpn di google chrome nya,kira2 ada yang tau kenapa",neutral,Social Influence
bang kalau mau karakter yang kita inginkan tetap itu promntnya bagaimana bang?,neutral,Performance Expectancy
mas kok saya nyoba tapi gaada suaranya ya? salahnya dimana ya?,negative,Social Influence
bang ko punya g ada suaranya y bang,negative,Social Influence
sayang nya masih ada bug dan tidak bisa pakai foto sendiri,negative,Effort Expectancy
kok saya malah jadi bahasa inggris ngomongnya,negative,Effort Expectancy
knpa saya buat tapi gada suaranya bang?,negative,Effort Expectancy
bang gua udah nngikutin cara lu. pake vpnn dll. tapi tetep aja ya. di gemininya yang muncul tetep veo 2,neutral,Social Influence
03:25 saya tidak ada pilihan video bang,negative,Social Influence
bang cara bikin promp nya gimana bang,neutral,Effort Expectancy
sama bang,neutral,Effort Expectancy
"sama bang,napa yak?",neutral,Social Influence
di refresh,neutral,Social Influence
sama,neutral,Effort Expectancy
"harus pro dulu bang,itu kan lagi tutor",neutral,Performance Expectancy
sama,neutral,Effort Expectancy
mungki harus keluar duit dulu,neutral,Effort Expectancy
harus upgrade baru bisa muncul fitur video nya. btw di awal dia bilang gratis,neutral,Social Influence
"tutor sampah,nd sesuai marketing,,harus berbayar vitur video lawak",neutral,Performance Expectancy
ciri komentar sdm rendah. makanya videonya itu di simak dari,negative,Performance Expectancy
udah tidak gratis ya hari ini.?,neutral,Social Influence
bang punya saya kok suara bahasa inggris ya?padahal prompt nya bahasa indonesia,negative,Social Influence
ngerinya kalo foto org penting dijadiin buat promosi judol,negative,Performance Expectancy
udah jdi cuma ngak ada suaranya,negative,Facilitating Conditions
"bang kenapa hasil generate gw tidak ada suaranya ya,apa ada setelan lain pada gemininya?",negative,Facilitating Conditions
saya tidak ad suara,negative,Effort Expectancy
kenapa saya tidak ada suaranya bang,negative,Performance Expectancy
tutor kalo lewat hp bisa tidak bang,neutral,Facilitating Conditions
kalo pake hp buka gemininya gmna bang?pake chrome for desktop apa bisa?,neutral,Facilitating Conditions
mas apakah wajahnya itu bisa pakai wajah kita sendiri?,neutral,Performance Expectancy
bang bisa tidak buat image to video,neutral,Performance Expectancy
bikin pakai hp bisa tidak,neutral,Effort Expectancy
sya coba sudh tidak ada percobaan selama 1 bulan lagi bang,neutral,Performance Expectancy
bang kenapa video yang saya buat dia memakai bahasa inggris,negative,Social Influence
wahhhh tambah tahun tambah ngeriiii ai,negative,Performance Expectancy
tehnologi yang dapat menjadi apa saja nantinya di tangan si pelaku.,positive,Performance Expectancy
pakai hp bisa bang ?,neutral,Effort Expectancy
agak susah,negative,Effort Expectancy
bang pas gua mau generate gemini nya bilang i couldn't do that because i'm getting a lot of requests right now. please try again later. emang harus nunggu dan coba beberapa saat lagi kah?,neutral,Social Influence
keren. semoga tambah berkah ilmu dan manfaat,positive,Social Influence
mana ada tampil seperti itu,neutral,Performance Expectancy
"sama saya juga,kenapa ya?",neutral,Effort Expectancy
"servernya penuh,kebanyakan pengguna. tunggu aja",negative,Effort Expectancy
tidak perlu log out terus login lagi berarti ya bg?,neutral,Effort Expectancy
"bang mau nanya 1 lagi,udah ada cara ganti akun google play store untuk metode pembayaran tidak bg? soalnya kan kalo udah pake trial pake akun google play store pertama selanjut nya udah tidak bisa lagi pake akun google play store sebelumnya untuk dapat trial gratis lagi. paham kan bg maksus gue?hehe. mohon dijawab bg kalo ada caranya",neutral,Effort Expectancy
"aamiin,semoga bermanfaat",positive,Performance Expectancy
tingal yang jadi masalah bagaimana cara membuat karakter ny tetap konsisten,positive,Performance Expectancy
kok tidak ada video,negative,Effort Expectancy
versi durasi video panjang bang,negative,Effort Expectancy
versi durasi video panjang bang,negative,Effort Expectancy
kok tidak ada suaranya ya,negative,Effort Expectancy
"kenapa di gw dari kemarin gada suaranya ya,,",negative,Social Influence
tidak bisa pakek wajah kita ya,neutral,Effort Expectancy
"bang buatin yang agak panjang dong,udah subrek nih,nanti tag ya",neutral,Effort Expectancy
kenapa video saya tidak ada suaranya,negative,Performance Expectancy
"bisa tidak bang,videonya dari foto sendiri",neutral,Social Influence
"bang,mau nanya kalau buat video gitu,ada max menit video nya tidak bg ??",neutral,Effort Expectancy
ko veo gua tetep veo 2 yah bg,neutral,Facilitating Conditions
bang saya buat kok tidak muncul suaranya ya. malah muncul text saja,negative,Effort Expectancy
keren..,positive,Social Influence
kalau di hp gimana,neutral,Facilitating Conditions
"ana dah nyoba,emang cuma bisa 8 detik doang ya?",neutral,Effort Expectancy
tidak bisa pake foto sendiri kah bang,neutral,Effort Expectancy
kok gue tidak ada suaranya bang,negative,Social Influence
\,neutral,Facilitating Conditions
donlod vpn nya dimana?,neutral,Effort Expectancy
trima kasih bang,neutral,Performance Expectancy
"versi gemini belum bisa,versi yang flow bisa",neutral,Effort Expectancy
yang mana tuh bang yang versi flow,neutral,Effort Expectancy
8 detik,neutral,Facilitating Conditions
berarti masih veo 2 pakai vpn yang cocok,neutral,Effort Expectancy
betul,positive,Effort Expectancy
"versi gemini belum bisa,versi yang flow bisa",neutral,Effort Expectancy
di ekstensi kalau pakai chrome pc,neutral,Effort Expectancy
semoga bermanfaat,positive,Performance Expectancy
pake android bisa tidak,neutral,Effort Expectancy
"bang mau tanya,kalo saat hasilnya sering tidak ada suara kenapa yaa?",negative,Social Influence
keren..tnx bang.,positive,Social Influence
bang ko aku buat tidak ada suara nya knapa ya,negative,Social Influence
"yang berbahaya nanti di politik,fitnah pakai ai akan semakin menggila,karena terlalu realistis",negative,Performance Expectancy
"masyawi,kok saya generate twpi dubbingannya bahasa inggris kenapa ya mas ?",negative,Social Influence
bang kok punya ku gada suaranya? malah dikasih subtitle,negative,Social Influence
kok jdi ngeri ya? :d,negative,Effort Expectancy
langganan vo 3 berapa mas ?,neutral,Performance Expectancy
"lebih realistis dari yang lain dan durasi juga lebih cepet bikinnya,",positive,Performance Expectancy
kenapa punya saya kok tidak suaranya ya bg?,negative,Social Influence
makasih bang,neutral,Effort Expectancy
thanks bang,neutral,Effort Expectancy
ini bisa clonan karakter kita sendiri engga kak buat video content?,neutral,Effort Expectancy
caranya jadi bahasa indonesia gimana????kenapa saya generate video malah jadi bahasa inggris.,negative,Effort Expectancy
kalo pake muka kita bisa tidak sih bang?,neutral,Effort Expectancy
"mayan ini buat nipu orang gptek,orang tua,orang kmpung",negative,Effort Expectancy
bang maximal video nya durasi brp menit y?,neutral,Effort Expectancy
di playstore saya tidak opsi lainnya bang?,neutral,Effort Expectancy
"bang kenapa ya kok yang saya pas bagian setelah verifikasi,selalu gagal ya,disitu tertulis,transaksi anda gagal,harap berikan dokumen dan semacamnya,tolong jawab bang kali aja mengerti",neutral,Performance Expectancy
pasti ada perbedaan sih...,neutral,Performance Expectancy
"​ kaum fanatik tidak peduli,apalg orang kurang paham teknologi,di jamin 2029 hancur2 an ai buzzer politik,sebar fitnah",negative,Performance Expectancy
cek lagi promptnya,neutral,Social Influence
trial gratis,neutral,Effort Expectancy
sama-sama bang,neutral,Performance Expectancy
selamat mencoba,positive,Social Influence
"versi gemini tidak bisa,yg bisa versi flow",neutral,Effort Expectancy
"​ maaf kak,klo yang versi flow itu yang mana kakak",neutral,Effort Expectancy
"versi gemini belum bisa,versi yang flow bisa",neutral,Effort Expectancy
8 detik,neutral,Facilitating Conditions
kok gemini di saya tidak ada untuk video nya ya? yang ada cuma deep research dan canvas. gimana carnya bang,neutral,Social Influence
cara buat karakternya konsisten gimna bro,positive,Effort Expectancy
sumpah mantap banget bang,positive,Social Influence
vpn nya suruh bayar bro,neutral,Effort Expectancy
gokil lu bang,positive,Social Influence
"mantap bg,ai paling ngeri menyala",positive,Social Influence
auto subrek bg,neutral,Social Influence
bang kalo bikin video nya rasio 9:16 cara nya gimnaa bang,neutral,Effort Expectancy
saya udah buat kok tidak ada suaranya ya gan,negative,Performance Expectancy
bang kalo promt nya sesuai dengan foto saya. apakah bisa ?,neutral,Performance Expectancy
sedang di pantai atau jalan - jalan di bali,neutral,Performance Expectancy
klo lewat hp android gmna bang,neutral,Facilitating Conditions
bang req prompt dengab tema suatu tempat tahun 2025 di ubah jadi lebih modern seperti 2125. prompt untuk gambar aja. saya udah subs lama hehe,neutral,Performance Expectancy
monasnya yang di belakang ya,neutral,Social Influence
bisa di mobile tidak ya?,neutral,Social Influence
"tidak bisa mas,banyak yang gunain,ai nya tidak mampu . terlalu banyak yang generate",negative,Effort Expectancy
gua udah dapet trial 15 bulan. anying sehari cuma bisa 1x doang bikin video nya.,neutral,Performance Expectancy
"ane dapet 15 bulan trial pro geminj pro sm google one,trial sekolah",neutral,Performance Expectancy
gila banget yah,positive,Social Influence
teknologi yang akan dipakai dajjal,neutral,Performance Expectancy
untuk hidupin orang mati,neutral,Performance Expectancy
klu ganti wajah kita sendiri gx bisa ya kak,neutral,Effort Expectancy
saya buat ko tidak ada suara nya ??,negative,Effort Expectancy
pastikan sesuai dengan tutorial saya,neutral,Performance Expectancy
sama,neutral,Effort Expectancy
bisa,neutral,Effort Expectancy
bisa pakai referensi gambar tidak bang? saat prompting nya? jadi kyk image to video gtu?,neutral,Social Influence
​ kayaknya cuma promt text to video deh bang. soalnya liat yang lain juga gitu.. kayaknya yaaa,neutral,Performance Expectancy
cara dapet trial gimana bang?,neutral,Effort Expectancy
​ tutor di yt banyak bang. gampang kok caranya,positive,Effort Expectancy
tutor dong supaya dapet trialnya,neutral,Effort Expectancy
​ -x1o nyelem di tele bnyak yang share,neutral,Performance Expectancy
"versi gemini belum bisa,versi yang flow bisa",neutral,Effort Expectancy
di xiaomi sudah ada aplikasi gemini bawaan,neutral,Effort Expectancy
makasih ngab,neutral,Effort Expectancy
"bang saya sudah upgrade ke pro dan menggunakan vpn tapi masih veo 2,gimana cara nya",neutral,Effort Expectancy
pakai veo 3 bikinan saya kok selalu keluar teks narasinya ya mas. solusinya gimana agar teks tidak muncul,negative,Effort Expectancy
,neutral,Effort Expectancy
di hp gabisa ya?,neutral,Effort Expectancy
mantap.terimakasih bang,positive,Social Influence
auto subacribe dech,neutral,Effort Expectancy
next mungkin bisa tutor 1 karakter buat generatenya buat berbagai adegan dengan 1 karakter di veo 3 mas...,neutral,Effort Expectancy
di tunggu part 2 nya mas,neutral,Social Influence
udah bikin veo 3 makasih turor bang,neutral,Effort Expectancy
makasi pencerhannya saya dah coba dan berhasil,positive,Performance Expectancy
kok saya tidak ada suaranya ya bang,negative,Effort Expectancy
"bang bagaimna klo kita edit berupa foto wajah kita pribadi menjadi sebuah video,mohon penjelasannya,maklum masih awam",neutral,Performance Expectancy
"terimakasih banyak kak,videonya sangat sangat bermanfaat",positive,Social Influence
monasnya aneh,negative,Social Influence
ini hanya beberala detik saja. apa bisa konsisten wajahnya tdak berubah.,neutral,Performance Expectancy
di android bisa tidak bang,neutral,Social Influence
"makasih bang,work parah",positive,Performance Expectancy
"di veo 3,bisa bikin video dari foto yang kita upload?",neutral,Facilitating Conditions
pakai hp atau laptop? kamu sebulan atau 15 bulan?,neutral,Facilitating Conditions
​ hp dan pro sebulan,neutral,Facilitating Conditions
sama-sama,neutral,Effort Expectancy
di hp atau komputer,neutral,Facilitating Conditions
​ bisa 22 nya asalkan di browser.,neutral,Effort Expectancy
sama-sama,neutral,Effort Expectancy
antar video apa bisa konsisten bang wajah subjeknya?,neutral,Performance Expectancy
kalo untuk iphone cara cancel sama cek emailnya gimana bg,neutral,Effort Expectancy
"mangtap abang,bisa lebih maksimal ngonten nya.",positive,Performance Expectancy
terimaksih,neutral,Performance Expectancy
pake hp tidak bisa ektensi,negative,Facilitating Conditions
vpn nya bayar,neutral,Effort Expectancy
mantap hasilnya,positive,Social Influence
ngeri kalo sampe di salahgunakan,negative,Performance Expectancy
terima kasih informasinya yang berharga,positive,Performance Expectancy
imajinasi orang indonesia berbahaya,negative,Social Influence
hasilnya emang tidak ada suara ya bg?,negative,Effort Expectancy
kalo dengan muka kita sendiri gimana caranya,neutral,Performance Expectancy
bang bikin video agar bisa pake muka sendiri,neutral,Facilitating Conditions
"cant generate video,try another prompt :(",neutral,Effort Expectancy
"makasih mas,video gratis dg rasa berbayar",positive,Effort Expectancy
itu durasinya maksimal brp menit bang .,neutral,Performance Expectancy
punya saya cuma 8 detik,neutral,Performance Expectancy
kerenn bangg thankyou ilmunyaa,positive,Social Influence
"terima kasih bg,penjelasannya mudah di pahami",positive,Performance Expectancy
videonya bang masyawi saya kira ai juga saking saru nya veo,negative,Effort Expectancy
monasnya jadi monumen washington.,negative,Performance Expectancy
"bang tolong baca komenku bisa atau tidak dibuat dengan 2 orang atau lebih,misal dengan rafi ahmad bersama denganku dalam satu video kayak gitu,didalam video aku bersalaman dengan rafi ahmad. misalnya begitu,bang tolong tanggapi request aku ya",neutral,Performance Expectancy
up,neutral,Effort Expectancy
kiwi brower kan bisa?,neutral,Effort Expectancy
"tidak semudah itu,ai gemini ada batasan",negative,Performance Expectancy
"sama-sama,semoga bermanfaat!",positive,Performance Expectancy
bang ternyata gabisa ya generate foto kita ke video terus bicara​,neutral,Social Influence
"kena limit generate videonya,gmn ya",neutral,Effort Expectancy
kalau ganti foto kita bisa tidak bang?,neutral,Performance Expectancy
ko saya pake hp gada suaranya ya,negative,Effort Expectancy
"gue coba tidak bisa keluar suaranya bang,gimana? minta solusinya",negative,Performance Expectancy
kok aku bikin tidak ada suaranya ya?,negative,Effort Expectancy
ko sya bkin malah tidak ada suaranya ya?,negative,Social Influence
bang buat tutor buat videonya untuk video klip lagu kira kira biisa tidak bang?,neutral,Performance Expectancy
bang kok saya bikin di hp gada suaranya ya hahhahah,negative,Effort Expectancy
