comment,sentiment,dominant_construct
mas kalau dari image ke video apa sudah bisa di gen 3,neutral,Effort Expectancy
subrek,neutral,Effort Expectancy
"sehari bisa bikin berapa video bang? saya pake yang gratis 15 bulan. 1 hari ini saya bikin 10 video,malah ada notif gini anda telah mencapai batas pembuatan video sampai 31 mei,14.34 emang 1 bulan cuma 10 videa ya?",neutral,Performance Expectancy
admin mulai bertanya,negative,Effort Expectancy
​ -fs3tb don't stop learning,neutral,Social Influence
sama,neutral,Performance Expectancy
vpn nya ganti yang lain coba,neutral,Social Influence
​ ganti vpn apa,neutral,Effort Expectancy
"sama gua juga tidak muncul,keknya abangnya emg beneran bayar dah tidak berlaku buat uji coba",negative,Social Influence
"coba beralih ke laptop,saya juga tidak bisa pake veo 3 di hp tapi setelah pake laptop baru bisa",neutral,Performance Expectancy
iya sama,neutral,Effort Expectancy
sama juga,neutral,Social Influence
bisa gua nyoba,neutral,Effort Expectancy
pake vpn apa bro? ​,neutral,Social Influence
tidak bisa,negative,Social Influence
bikin jilboob bisa bang wkwk,neutral,Effort Expectancy
8 detik,neutral,Performance Expectancy
veo 3,neutral,Effort Expectancy
kayaknya nunggu 5 hari baru bisa bikin lg,neutral,Effort Expectancy
"beruntung banget lo bang bisa 10 video,gw cuma 4",positive,Performance Expectancy
kok bisa gratisan 15 bulan bang,neutral,Effort Expectancy
gimana bisa gratis 15 bulan bang?,neutral,Performance Expectancy
katanya gratis tapi harus premium dlu,neutral,Effort Expectancy
bang kok video gw slalu bahasa inggris bang?,negative,Effort Expectancy
beuh .. keren abis,positive,Social Influence
bang buatin tutor biar video bisa ama orang lain yang make ai,neutral,Effort Expectancy
gimana bisa 1 menit? kan hanya 8 detik saja bisanya,neutral,Performance Expectancy
"min,mimiknya agak kaku ,jangan² yang bicara ini mimin palsu ya??? ,lanjuuut sukses selalu.",positive,Performance Expectancy
sayang banget bang mending yang gratis 15 bulan. google one ai pro gratis untuk mahasiswa.,positive,Performance Expectancy
"bg punya ku kok bahasa inggris ya,ga bisa bahasa indo",negative,Performance Expectancy
singapore hadir nyimak. keren ai veo 3 nya. terima kasih berbagi. 1 like!!!!,positive,Social Influence
ada batasannya tidak sehari bisa buat berapa video?,neutral,Performance Expectancy
luar biasa,positive,Social Influence
kenapa yang saya buat tidak ada suaranya,negative,Effort Expectancy
luar biasa,positive,Social Influence
minus nya tidak bsa bkin video bnyak banyak ada limit nya,negative,Performance Expectancy
kok di saya tidak ada tulisan vidio itu ya?? cuma deep research sama canvas.,negative,Performance Expectancy
kok gw tidak ada audio,negative,Effort Expectancy
itu bisa langsung sama voice over nya gimana bang,neutral,Performance Expectancy
kok punya ku gada suaranya ya,negative,Social Influence
ko cuma gratis 1 bulan? aq 20 akun semua dpt 15 bulan gratis,neutral,Performance Expectancy
ngeri brow,negative,Performance Expectancy
bikin beberapa video yang nyambung trus digabung pake aplikasi lain kaya capcut,neutral,Facilitating Conditions
"kalo dari sebelah katanya 8,bisa nya lagi 3 hari kedepan,,tapi coba aja dulu mungkin ada bonus batasan",neutral,Performance Expectancy
sama bg,neutral,Performance Expectancy
berarti pake veo 2 itu bang,neutral,Social Influence
"jangan serakah lah bro,nanti indonesia di ban rugi semua malah. beruntung masuk 5 negara yang bisa dapet gratisan gini",positive,Performance Expectancy
"​ tidak serakah,emng tu akun mahasiswa",positive,Performance Expectancy
bg kalau pakai muka kita bisa bg,neutral,Effort Expectancy
bang itukan text to video. kalau image to video bisa tidak ya bang?,neutral,Effort Expectancy
punya ku tidak ada suaranya bang,negative,Effort Expectancy
"gue mau nanya mas,kalau saran selain elevenlabs ada tidak yang lain yang kalau bisa persis fiturnya kaya elevenlabs? gue kehabisan akun google jadi mesti nunggu 1 bulan buat reset kredit. channel u kan biasanya ngasih solusi yang beneran gratis..btw gue ngikutin chanel u dari bahasa imagefx dan masih gue pake,makanya gue selalu nonton video lo,mohon berkenan memberikan solusi. terima kasih",neutral,Performance Expectancy
smooth banget cuy,positive,Effort Expectancy
"yang di video pertama,dari logatnya juga bisa mirip kaya manusia gtu ya serem amat",negative,Effort Expectancy
"untuk akun pro,berapa kali generate perhari",neutral,Social Influence
maksih ilmu nya bg,negative,Performance Expectancy
tidak ada suara bjirr,negative,Effort Expectancy
"tidak bisa install vpn-nya. pakai opera vpn,bisa buka gemini tapi cuma versi 2,5",neutral,Effort Expectancy
maksimal durasinya berapa..?,neutral,Effort Expectancy
buatin yang bisa pake wajah sendiri bang,neutral,Social Influence
"nanya donk,awal saya buat ada suaranya (tp ada text di videonya) trus saya coba buat lagi,videonya ada,tp suara tidak kluar,itu kenpa yaa?",neutral,Performance Expectancy
"mantap,keren.",positive,Social Influence
"bang,untuk orang yang mau buat konten dengan karakter konsisten belom bisa ya pake veo 3? ada pilihan buat pake gambar yang udah kita siapkan biar tinggal di generate ke video apa gak?",neutral,Performance Expectancy
"dimasa depan banyak penipuan video,orang awam waspada",negative,Performance Expectancy
"mas,gw udh subscribe ai google yang versi pro. ada veo 3 nya tapi ko kena limit ya generate video veo 3 nya",neutral,Performance Expectancy
pake hp bisa tidak,neutral,Performance Expectancy
ganas euy,positive,Social Influence
"tidak ada suaranya kak,udah upgrade udah ngikutin prompt",negative,Performance Expectancy
sama,neutral,Performance Expectancy
sama,neutral,Performance Expectancy
sama,neutral,Performance Expectancy
up,neutral,Effort Expectancy
4 video per 3 hari bang,neutral,Effort Expectancy
"sehari bisa bikin berapa video bang? saya pake yang gratis 15 bulan. 1 hari ini saya bikin 10 video,malah ada notif gini anda telah mencapai batas pembuatan video sampai 31 mei,14.34 emang 1 bulan cuma 10 videa ya?",neutral,Performance Expectancy
sama euy.. nggak.ada suara nya,negative,Effort Expectancy
berarti pake veo 2 itu bang,neutral,Social Influence
​ pake veo 3 tapi kalo prompt dari bg masyawi ada sedikit aja di rubah sering nya tidak ada suara mllu,negative,Performance Expectancy
rekomended sekali buat bikin film nih,neutral,Social Influence
"masyaallah,masyawi",neutral,Performance Expectancy
g ad gratisan di bulan pertama bang,neutral,Performance Expectancy
salah satu kelemahan gemini hasil tidak sesuai dengan bentuk bangunan asli. saya pernah mengetik gedung dpr dan monas yang keluar malah bangunan yang asing dan beda jauh sma aslinya. klo di chatgpt hampir 90% mirip dalam bentuk bangunan,negative,Performance Expectancy
trs ini cara generate image to video gmn bang,neutral,Effort Expectancy
"kalau lewat smartphone tidak bisa ya min,ane sudah ubah vpn ke amerika ane sudah langganan pro,terus buka lewat chrome di android,tapi versi veo masih versi 2,apa emang harus lewat computer / pc ya,",neutral,Performance Expectancy
kl sudah mengikuti stepnya tetapi tombol videonya tidak muncul bagaimana?,neutral,Effort Expectancy
keren,positive,Social Influence
ngeri banget cok,negative,Social Influence
kok saya hasil nya gada suara ya,negative,Effort Expectancy
bang udah pake vpn tapi fitur veo3-nya ngga mucul bang,negative,Social Influence
mantap bang!,positive,Social Influence
"bang mngkn bisa di coba menggunakan lokasi tempat/alamt yang realitis brngkli sesuai dgn google map,",positive,Social Influence
jdi jalannya gang kampung memang bner2 sma,neutral,Performance Expectancy
"i can't generate that video. try describing another idea. you can also get tips for how to write prompts and review our video policy guidelines. learn more <-- selalu aja dapat pesan ini,bisa dibantu?",neutral,Effort Expectancy
kalo di hp lama generetnya,neutral,Effort Expectancy
temen-temen yang mau prompt yang kupakai silahkan kunjungi,neutral,Performance Expectancy
punyaku sudah limit,neutral,Effort Expectancy
gua udah buat tapi sama aja pake veo 3 engga ada suara nya,negative,Effort Expectancy
coba kling bang skrg kok tidak bisa free walau akun fresh jg busy trs,neutral,Performance Expectancy
sehari bisa gratis ganerate berapa bang,neutral,Performance Expectancy
"betul,tapi perkembangan ai ini cepet banget,mungkin setahun atau 2 tahun lagi udah bisa bagus banget",positive,Performance Expectancy
"​ iya jir pdhl blm ada 5 tahun loh ai pertama yang bisa buat gambar muncul(keknya 2022 si dall-e) bru 3 thun dh bisa buat video secanggih ini,dan gta 6 blm keluar",negative,Performance Expectancy
kira kira ai 2050 kaya gimna ya,neutral,Performance Expectancy
"gausah 2050 bang,ni 2030 mungkin udah bisa buat short film",neutral,Performance Expectancy
perang duania..​,neutral,Performance Expectancy
"perkembangannya gila-gilaan,makin sini makin cepet aja,kayaknya 2027 juga udah makin realistis.",positive,Effort Expectancy
"jadi ngeri liat video hoax pemilu,editan tulisan doang udah pada percaya,apalagi video",negative,Performance Expectancy
bg kalo misal udah lewat 1 bulan/ itu tagihan pembayaran ditagih ga?,neutral,Social Influence
"kalau bisa 1 hari sebelum jatuh tempo kita batalkan langganan,terus daftar lagi tapi dengan status mahasiswa bisa dapat gratis 15 bulan,ada yang kasih tutorials biar dapat akses gratis gemini pro 15 bulan dengan status mahasiswa",neutral,Performance Expectancy
apa nanti kita suruh daftar ulang? trus bayar kalo mau lanjut?,neutral,Social Influence
sama,neutral,Performance Expectancy
berarti tidak sesuai tos prompt lo bag,negative,Performance Expectancy
di pc kadang lama kadang cepet,negative,Performance Expectancy
​ sekelas pc aja bosa lama apalagi fe pake hp wkwk,neutral,Effort Expectancy
​ tapi gw udah bisa thx bg,neutral,Effort Expectancy
punya saya tidak ada suaranya bang gimana?,negative,Performance Expectancy
sama,neutral,Performance Expectancy
"sama bang,saya juga gada suaranya",negative,Effort Expectancy
"itu masi pake yang veo 2 kynya om,vpn nya blm nyala kyny",negative,Performance Expectancy
"sya sudah pro,tapi masih veo 2 bg,gmna solusi?",neutral,Performance Expectancy
pastikan vpn nya server amerika,neutral,Effort Expectancy
vpn boy​,neutral,Effort Expectancy
pake vpn bang,neutral,Social Influence
"bang tolong baca komenku bisa atau tidak dibuat dengan 2 orang atau lebih,misal dengan rafi ahmad bersama denganku dalam satu video kayak gitu,didalam video aku bersalaman dengan rafi ahmad. misalnya begitu,bang tolong tanggapi request aku ya",neutral,Performance Expectancy
untuk veo 3 versi gemini ini tidak bisa diri sendiri,neutral,Performance Expectancy
"bang kualitas videonya 720p,gimana supaya bisa 1080p ?",neutral,Effort Expectancy
apakah ada batas pembuatan videonya? karena aku coba hanya sampai 3 kali pembuatan videony pakai veo 3,neutral,Performance Expectancy
"saya cuma sampe 8 detik doang,gak lebih",neutral,Performance Expectancy
"itu uji coba sebulan,yang vidio cuma bisa bikin 3 kali aja klo untuk fitur yang lain masih bisa. harusnya abangny jelasin juga tapi sama abangny g di jelasin",neutral,Performance Expectancy
bagaima supaya wajahnya dirubah dengan wajah kita,neutral,Performance Expectancy
​ -f2f ikut nunggu jawaban dr komenan ini,neutral,Effort Expectancy
ada cara biar bikin videonya tidak limit tidak kak? baru buat beberapa udah limit sampai tanggal 6 juni baru bisa buat lagi,neutral,Performance Expectancy
"mas kenapa saya hanya bisa membuat beberapa kali,padahal baru satu hari mohon petunjuk selanjutnya mas",neutral,Performance Expectancy
bang gw udah buat sesuai isi vidio tapi tidak ada suara...,negative,Social Influence
cobain di hp dong bang,neutral,Effort Expectancy
situs nya down,negative,Effort Expectancy
suara nya tidak ada dari yang saya buat... cuma video aja,negative,Performance Expectancy
​ sama cara munculin suaranya gman kak? udah bisa blom,negative,Performance Expectancy
webnya g bisa dibuka kak,neutral,Performance Expectancy
"bang punya saya tidak ada suaranya,tolong dijawab dong",negative,Effort Expectancy
"saya udah coba ikutin tutornya dan lancar semua tapi bahasanya tetep bahasa inggria ya bang,?",negative,Performance Expectancy
"video yang saya bikin cuma sampai 8 detik aja,narasinya jadi terpotong,mohon pencerahan kak",negative,Performance Expectancy
apa memang hasil video nya maksimal 8 detik ya bang?,neutral,Performance Expectancy
berarti tidak gratis itu?,neutral,Performance Expectancy
bang di saya kq tidak ada pilihan video nya yah,negative,Effort Expectancy
aku juga sama tidak ada,negative,Effort Expectancy
kalau di crome android tidak bisa di download ya vpn nya,negative,Effort Expectancy
masih tetep vo2,negative,Effort Expectancy
bang membuat video di vo3 ada batasnya tidak,neutral,Performance Expectancy
tidak bisa pake hp?,neutral,Effort Expectancy
saya curiga host nya ai juga kek nya,negative,Effort Expectancy
wkwkwkwk,neutral,Social Influence
punyaku kok bahasa inggris vidionya,negative,Effort Expectancy
saya sudah buat tetapi tidak punya suara,negative,Social Influence
dajjal: yehee bwooii,neutral,Effort Expectancy
bro bro atau teman-teman yang ada di kolom komen ini kira-kira ea yang aksesnya perlu untuk membaca layar tunanetra apa ya??? yang aksesibel ???,neutral,Performance Expectancy
bang kalo pake hp bisa,neutral,Facilitating Conditions
bang gua udah upgrad ke pro to ko tetep di veo 2 ya...,neutral,Performance Expectancy
��,neutral,Social Influence
klo pke hp tidak bisa ya bang ?,neutral,Performance Expectancy
kak nulisnya bahasa inggris tapi ngomong nya bahasa indonesia,negative,Performance Expectancy
semua ai tetap bayar keculai ai whatsap,neutral,Performance Expectancy
"buatkan prompt untuk veo 3 seseorang wanita cantik dengan background patung habibi dengan seolah ngevlog selfie sambil berbicara tahede ngana ayi piliki,kinapa te lanang ngana beken jadi ba cina dengan sedikit marah",neutral,Performance Expectancy
puny ku kok tidak ada suara nya ya bang,negative,Social Influence
"kenapa hanya gambar ajah ya,bulan video?",neutral,Performance Expectancy
bang klo videonya lagi mempromosikan produk / barang dagangan milik sendiri gmn bang???,neutral,Social Influence
"saya dah coba bang,tapi ko tidak ngomong",negative,Effort Expectancy
apa bisa buatkan video klo bisa berapa biayanya,neutral,Performance Expectancy
"mas,bahas tune ai mas,peraturannya agak ribet,g simple kyk 2025...",negative,Performance Expectancy
trus solisinya apa buat kami yang pemburu gratisan,neutral,Performance Expectancy
"please mas,bantu kami..",neutral,Performance Expectancy
durasinya cmn 8 detik aja ya bang?,neutral,Effort Expectancy
pakai email lain,neutral,Performance Expectancy
"trus langganannya gimana,apa di batalin sekarang apa nunggu akhir2",neutral,Performance Expectancy
akhir-akhir aja,neutral,Social Influence
mungkin harus di leptop tidak bisa di hp,neutral,Effort Expectancy
iya kling klo dari hp lama banget (pernah smpe setengah jam),negative,Performance Expectancy
"pastinya tidak tau,soalnya dua akunku limitnya beda",neutral,Performance Expectancy
"​​ aku pake yang free 15 bulan,khusus mahasiswa,modal tempumail",positive,Performance Expectancy
"berapa masing-masing bang? punya saya 2 akun sama,4 video per 3 hari",neutral,Effort Expectancy
mungkin tak lama lagi para penulis cerpen / novel pada beralih dari format tulisan / bacaan / buku ke format video / film /tontonan. bahkan tiap orang bisa jadi produser film sendiri dan membuat aneka tontonan sesuai imaginasi masing2 yang diterjemahkan oleh ai.,negative,Performance Expectancy
mantap bang berhasil...,positive,Social Influence
"sae kang masyawi.. hehee.. saya sudah usia lanjut,tapi seneng belajar ai hehe.. maturnuwun",positive,Social Influence
"untuk percakapan bahasa indo promptnya gmn ya biar pasti bahasa indo? 2 prompt sama persis,yg pertama bahasa inggris,yg kedua baru bahasa indo",neutral,Performance Expectancy
ini ada batas ga? misal bikin 2 vidio aja?,neutral,Effort Expectancy
tolong dong bang buatkan video tutorial cara bikin prompt dengan karakter yang konsisten utk beberapa adegan di dalam satu video (semisal mau bikin konten cerita berdyrasi panjang).,neutral,Performance Expectancy
mantap,positive,Social Influence
"mantap bang,kita memasuki dunia tipu2",positive,Social Influence
"d laptop sy ko tidak ad bayar lewat nope ya bang,itu knapa ?",neutral,Performance Expectancy
untuk rasionya tidak bisa dirubah ya bang,negative,Effort Expectancy
"ka maswi mau tanya kalau tidak keluar suwaranya,ada solusinya kak",neutral,Effort Expectancy
"ud pake trial coba ke pro,,tp bikin video nya masih dilimit ya,,td cm bs 5x klo tidak salah,,gmn tuh bang,,apa emang dilimit ya???",neutral,Performance Expectancy
"terimakasih banyak mas sangat membantu,salam youtuber pemula",positive,Performance Expectancy
kebayang bikin film pke ini.,neutral,Performance Expectancy
"bang luh asli kan,bukan ai?",neutral,Performance Expectancy
sminggu cuma bisa 3 video. tutor dong bang biar bisa unlimited video,neutral,Performance Expectancy
"mas wahyu... saya sdh masuk di tahap beranda depan... ada kolom,tapi fitur video tidak ada. yang ada hanya fitur deep research dan kanvas.... cara memunculkan pilihan video gimana. ? mohon petunjuk.. makasih",neutral,Effort Expectancy
"saya udah coba,tapi hasilnya ko tidak ada suaranya ya? wkwk",negative,Performance Expectancy
bisakah wajahnya dibuat dengan wajah kita sendiri?,neutral,Effort Expectancy
prompt nya,neutral,Performance Expectancy
"wah betul,analisa yang mantap",positive,Social Influence
"tidak bisa lah,di dunia ini mash ade orang yang lebih suka membaca buku fisik",negative,Performance Expectancy
"​ bener ane pribadi lebih suka buku fisik,di salah satu negara eropa sekolah2 dasar nerapin lagi buku berbasis cetakan fisik",positive,Performance Expectancy
tapi populasinya makin berkurang. keliatan dari gramedia yang mulai ditutup di beberapa tempat dan kalau buka sepi banget,negative,Performance Expectancy
anda salah. semakin maju ai karya original manusia semakin exclusive dan di cari,negative,Performance Expectancy
​ betul bang.,neutral,Performance Expectancy
"​ nah ini bener,dan harga nya juga akan semakin mahal..",positive,Effort Expectancy
asal kuat modal aja,neutral,Performance Expectancy
semua bisa terealisasi dengan modal yang tentu saja mahal.,neutral,Effort Expectancy
"saya pernah bikin novel pake ai,next mungkin versi filmnya. sekarang juga udah kepikiran,minimal bikin trailer supaya orang mau baca versi aslinya (buku/novel,dll)",negative,Performance Expectancy
"kalo punya skenario film,malah bisa bikin film versi ai",neutral,Facilitating Conditions
bisalah buat film naruto live actionnya​,neutral,Performance Expectancy
veo 3 bayarnya masih mahal bro... nunggu murah.,neutral,Performance Expectancy
kalo gratisan... hanya utk 20 detikan.,neutral,Performance Expectancy
suatu hari... kalau sdh murah... seru tuh...,positive,Social Influence
​ 20 detikan itu lumayan lama sih untuk hitungan gratis.,neutral,Performance Expectancy
tinggal kreativitas kita bagaimana bikin jadi video panjang,neutral,Performance Expectancy
"​ ya cukup itu. 20 detik,terus generate ulang,lalu gabungkan menjadi sekian menit,jadi bisa dapet multi angle dan timeframe juga",neutral,Performance Expectancy
"kemungkinan gabakal murah sih bag,gw kemarin coba piclumen yang buat generate foto doang gratis dan dibatasin kalau tidak salah 20 lebih,eh sekarang gabisa sama sekali (harus bayar). walaupun harganya turun pasti dikit",neutral,Performance Expectancy
bukan bentar lagi mungkin klo untuk bikin film udah ada tools nya namanya ltx,neutral,Performance Expectancy
kirain lu a.i juga bang,neutral,Effort Expectancy
kalau konten kek gini adalah ujung2nya promo jualan layanan berbayar betlangganan!!!,neutral,Performance Expectancy
kamu sadar tidak apa yang paling menakutkan dari ai ini orang semakin mudah di adu domba.. dan video yang nyata asli misalnya mereka yang bersalah di video itu bisa membantah dengan menyatakan itu palsu..!,negative,Performance Expectancy
"dan tak lama lagi,makin bnyk yang menyalahgunakan,buat fitnah fitnah yang merugikan org lain t___t ngeri sih klo disalahgunakan,udh bnyk buktinya tuh,zaman makin modern.. tapi makin bnyk org yang tertipu ai dan kemakan berita hoax",negative,Performance Expectancy
saya penulis novel di wattpad baru saja mau buat video realistik hasil dari tulisan saya.. tapi membuat karakter tetap konsisten dari tiap adegan itu sangat susahh,negative,Performance Expectancy
"pantesan veo3 belum bisa dipakai di indonesia,karna orang indonesia sukanya yang gratisan melulu,ini belum masuk ke indonesia aja sudah banyak vidio tutorial pakai vpn,dan cara pakai veo3 gratisan",neutral,Performance Expectancy
​ betul..mau cuan gede tapi modal gratisan,neutral,Social Influence
iya kak tapi aku tetep nulis buat bahan prompt nya jadi tetep nulis tapi kali ini bisa di realisasikan ke virtual,negative,Performance Expectancy
sensasi membaca ama menonton itu beda..,positive,Performance Expectancy
untuk novel udah saya garap kak dan saya terbitkan di aplikasi,neutral,Performance Expectancy
kok tidak ada suaranya bg,negative,Effort Expectancy
bisa jaih,positive,Performance Expectancy
tidak lh,negative,Performance Expectancy
"bang,gua udah ikutin step by step ny tapi tidak ada suaranya",negative,Effort Expectancy
"udh diprediksi dari lama,setiap orang bakal bisa bikin film setara bahkan melebihi film hollywood,udh kya bikin konten receh di youtube dan tiktok",positive,Performance Expectancy
"betul,sayapun berpikir akan membuat cerita pendek dulu gunakan vidio veo3 kalo penulis novel mungkin enak tinggal salin jadi prompnya",neutral,Performance Expectancy
"bukan mungkin mas,tapi emang udah pada pake video dari ai,author fizzo novel juga udah banyak yang bikin",neutral,Performance Expectancy
nah betul saya sudah membuatnya bosku...,neutral,Social Influence
dari tema zombie,neutral,Performance Expectancy
saya sudah membuat beberapa episode dan sebentar lagi saya bakalan upload di facebook untuk reel dan vidio dan total durasinya sudah hampir 1 jam dan sedetail mungkin seperti di film.,neutral,Performance Expectancy
mulai dari pembukaan muslim dan editor saya sendiri,neutral,Social Influence
"ngga si pembuat film,dll. tidak akan pernah bisa di ganti ai,ai bsa punya data tapi tidak ada sanse sebaik manusia",negative,Performance Expectancy
tetap buku fisik tak tergantikan.. baca buku fisik itu bikin orang berimajinasi .. imajinasi dari setiap individu itu berbeda 2 dan tidak bisa tergantikan oleh film / video,negative,Performance Expectancy
"mungkin inilah yang dinamakan perkembangan zaman,apapun yang terjadi kedepannya kita harus bisa menyesuaikan diri seiring dengan perkembangan teknologi yang ada",positive,Performance Expectancy
ancaman dunia digital.. bergantung pilihan saya sendiri lebih suka membaca maklum generasi 90,negative,Performance Expectancy
sami-sami,neutral,Performance Expectancy
tinggal di selipin spesifik saat ngomong indo,neutral,Performance Expectancy
saya 4 video per 3 hari,neutral,Effort Expectancy
veo 3 versi gemini karakter belum bisa konsisten,neutral,Performance Expectancy
harus update biar tidak ketipu hehe,neutral,Effort Expectancy
daftarnya pakai hp,neutral,Performance Expectancy
udah ada prompt yang harus diucapkan apa belum?,neutral,Performance Expectancy
"dilimit setiap harinya,kayaknya aku bisa lebih sari 5,solusinya pakai banyak email",positive,Performance Expectancy
"saya malah 4 video doang bro,3 hari lagi baru bisa generate 4 video lagi",negative,Performance Expectancy
semoga sukses,positive,Social Influence
aku mau nanya gini juga,neutral,Effort Expectancy
"cerdas anda,",positive,Social Influence
��,neutral,Social Influence
"iya njir,jadi trust issue sama apa yang muncul di sosmed",neutral,Performance Expectancy
bagi yang jeli ya ketahuan lah,neutral,Social Influence
"asli,gua ikut ngakak gara2 koment lu bang",neutral,Effort Expectancy
ai lah,neutral,Performance Expectancy
gua ampe merhatiin muka dia gara gara komenanlu bang,negative,Effort Expectancy
​ -u2k,neutral,Effort Expectancy
kayanya yang di vidio juga ai,positive,Facilitating Conditions
haha tidak bisa bedain emang jaman sekarang,neutral,Performance Expectancy
y allah...gue takut banget klw ini bner,negative,Performance Expectancy
ini koment yang bersarang di kepala saya jangan penyiarnya ini ai jga,neutral,Performance Expectancy
sepemikiran,positive,Performance Expectancy
ndas mu !,neutral,Social Influence
alay,positive,Performance Expectancy
��,neutral,Social Influence
"asli lah,ai durasinya paling pnjang 8 detik",neutral,Performance Expectancy
ai kelemahanya di mulut waktu bicara perhatikan secara cermat,neutral,Performance Expectancy
"bukan lah bang,itu asli cuma efeknya aja gitu",neutral,Effort Expectancy
bisa jadi bisa engga,neutral,Effort Expectancy
anda bertanya kepada ai,neutral,Performance Expectancy
bikin akun google yang banyak bang,neutral,Effort Expectancy
"liat di pojok kanan atas gan,gemini nya itu pro bukan gratisan klo gratisan vitur video nya tidak ada,klo mau fitur video harus langganan gemini pro",neutral,Performance Expectancy
"ya bettol,,sduah teratasi bang... makasih infonya bang irham",neutral,Performance Expectancy
wah sama bang,neutral,Effort Expectancy
"daftar pro dulu bang,saya juga gitu,pas daftar pro baru mucul",neutral,Performance Expectancy
wkwkwkwk.... idem ya bang,neutral,Performance Expectancy
kan udah dijelsain diatas,neutral,Performance Expectancy
"veo2 kali yang dicoba,bukan veo3",neutral,Performance Expectancy
"yang saya tunggu-tunggu bang,makasi bang.",neutral,Performance Expectancy
"bang,apakah kita bisa menggenerate video sebanyak-banyaknya atau dibatasi per harinya?",neutral,Performance Expectancy
"giaman caranya supaya karakter di veo 3 bisa mengikuti beat lagu serta lirik lagu yang kita buat sendiri ? apakah kita juga harus masuk leirik dan beat lagu tersebut ke dalam veo3 ? seperti contoh di video detik ke 8,,",neutral,Performance Expectancy
kalau buuat short gmn ya,neutral,Social Influence
cara bikin prompt nya gmn sih bang? saya bikin tapi jawaban nya saya tidak mengerti yang anda perintahkan jawabannya,negative,Performance Expectancy
ikut belajar kak,neutral,Performance Expectancy
keren bang...,positive,Social Influence
kalau ada yang gratis 15 bulan kenapa pilih yang sebulan?,neutral,Performance Expectancy
tutor bikin promt di chat gpt dong bang,neutral,Effort Expectancy
berapa generate video limit sehari nya bang?,neutral,Facilitating Conditions
part ii nya ditunggu,neutral,Performance Expectancy
bayar juga gpp sih kalau hasilnya memang memuaskan,neutral,Effort Expectancy
"bang,generate videonya di batasi per hari nya tidak ya?",neutral,Effort Expectancy
bang ini yang pake kaca mata aku jadi ragu asli apa enggak,negative,Effort Expectancy
sangat ditunggu video ini,positive,Social Influence
cara membuat prompt,neutral,Effort Expectancy
ngeri hasilnya mantap bg di tunggu buat promptnya,positive,Performance Expectancy
sama-sama bang,neutral,Social Influence
belum bisa,negative,Effort Expectancy
"bikin dulu di chatgpt,formatnya miripin punyaku",neutral,Effort Expectancy
selamat mencoba,positive,Performance Expectancy
saya 4 video per 3 hari,neutral,Effort Expectancy
10 generated / 5 hari,neutral,Performance Expectancy
"setuju sh klo bnran buat dipke daily use 10rb/hari mah murah jatuhnya,,cman pnsaran aj klo dilariin k short apa bkal dismonet ap kagak aja",neutral,Performance Expectancy
nah ini bisa monet tidak yah,neutral,Social Influence
"betul,tinggal pakai email lain aja",neutral,Performance Expectancy
"waduhh,asli ciptaan tuhan ini",positive,Effort Expectancy
��​,neutral,Social Influence
ko sama.. jdi mikir gtu,neutral,Performance Expectancy
jgn hsil ai,neutral,Performance Expectancy
��​,neutral,Social Influence
kameranya cerah banget soalnya,positive,Effort Expectancy
kepalsuan kak,positive,Performance Expectancy
��​,neutral,Social Influence
asli ini mah dari pabrik,positive,Facilitating Conditions
"ai ini,mukanya kaku",positive,Performance Expectancy
buat di chatgpt,neutral,Effort Expectancy
siap,neutral,Performance Expectancy
akses tools premium tanpa batas (lifetime access),neutral,Performance Expectancy
"veo3.1,sora2,kling,nano banana,seedance,ugc tools",neutral,Performance Expectancy
"grup premium vip nexabot pro premium diskusi - sora 2,veo 3.1,nexagen / tiktok video,sharing trick",positive,Performance Expectancy
"kling,seedance,nano banana unlimited - selamanya ( berupa trick dan tool )",positive,Performance Expectancy
"bg,sekarang di 2026 masih bisa tidak bg pake trik ini??",neutral,Performance Expectancy
sebenarnya ini video daging.,neutral,Effort Expectancy
sayang nya gw tidak paham soalnya gw pakai hp android,negative,Performance Expectancy
"ibaratnya,gw anak sd lagi nyimak kuliah fisika kuantum",negative,Performance Expectancy
mantap,positive,Social Influence
skrng udh g bisa ya,neutral,Performance Expectancy
ini maksimal durasi 8 detik ya?,neutral,Effort Expectancy
"kalau tutorialnya hanya untuk yang ngerti it,ya percuma bang. aku puyeng dengan kecepatannya,tutorial ini akan berguna maksimal kalau sedikit lebih slow lagi,biar tidak susah ngikutin bang. tapi,setengahnya sudah tks lah...",negative,Social Influence
veo video generatornya belum di update bang?,neutral,Effort Expectancy
kalo untuk di hp dong bang,neutral,Social Influence
kalau sudah punya gamini pro apakah bisa pake api dari gemini pro nya,neutral,Facilitating Conditions
aduh puyeng aku cuma modal hp,neutral,Performance Expectancy
msh work tidak?,neutral,Performance Expectancy
trik biar suara karakter tidak berubah dari satu video ke video berikutnya gimana bang?,neutral,Performance Expectancy
minta api key terus yaa hasil nya???,neutral,Performance Expectancy
easy kok bingung ini mah api key. bahagia lah yang udah punya akun google console tinggal enable library gemini tapi ati² janhan campur project utama sama project iseng soalnya ada tagihan.,positive,Performance Expectancy
paket tablet kok tidak bisa ya,neutral,Effort Expectancy
"pas naympe tengah2,langsung pusing",positive,Performance Expectancy
